# impostor_mean=0.0281	impostor_p95=0.2535	cmn=none	th_across=0.178	th_tight=0.3	th_f0_st=3.0
spk	n_clips	intra_cos_mean	intra_cos_min	worst_pair	split	across_cos	within_min	f0_gap_st	type
cv_0132	8	0.6146	0.4557	common_voice_ja_39231297.wav|common_voice_ja_39231442.wav	5/3	0.5808	0.5892	0.44	ok
cv_0077	8	0.5698	0.2419	common_voice_ja_38832115.wav|common_voice_ja_38832153.wav	1/7	0.4025	0.6255	0.43	ok
cv_0172	8	0.4514	0.2329	common_voice_ja_39248646.wav|common_voice_ja_39248223.wav	3/5	0.3945	0.5008	0.43	ok
cv_0060	8	0.5881	0.2689	common_voice_ja_38996135.wav|common_voice_ja_38993918.wav	6/2	0.5256	0.6077	0.43	ok
cv_0062	8	0.5996	0.4381	common_voice_ja_41867641.wav|common_voice_ja_41867497.wav	4/4	0.5601	0.6278	0.43	ok
cv_0224	8	0.4920	0.1642	common_voice_ja_41812463.wav|common_voice_ja_41812408.wav	5/3	0.4597	0.5052	0.43	ok
cv_0269	8	0.5102	0.2827	common_voice_ja_41767502.wav|common_voice_ja_41767383.wav	4/4	0.4860	0.5372	0.43	ok
cv_0024	8	0.5319	0.3461	common_voice_ja_45149945.wav|common_voice_ja_45150195.wav	2/6	0.4528	0.3948	0.42	ok
cv_0061	8	0.4932	0.2598	common_voice_ja_36325185.wav|common_voice_ja_36325430.wav	2/6	0.4098	0.5465	0.41	ok
cv_0297	8	0.6617	0.4324	common_voice_ja_30536795.wav|common_voice_ja_30536888.wav	2/6	0.5582	0.6403	0.41	ok
cv_0209	8	0.5849	0.2348	common_voice_ja_21611053.wav|common_voice_ja_21369349.wav	7/1	0.3436	0.6653	0.41	ok
cv_0182	8	0.2873	-0.0268	common_voice_ja_42150600.wav|common_voice_ja_42150570.wav	3/5	0.2161	0.3566	0.40	ok
cv_0130	8	0.4389	0.0723	common_voice_ja_36356506.wav|common_voice_ja_36355921.wav	5/3	0.1920	0.6867	0.40	ok
cv_0100	8	0.6572	0.4701	common_voice_ja_35916319.wav|common_voice_ja_35915814.wav	2/6	0.5843	0.7092	0.40	ok
cv_0116	8	0.2610	-0.0708	common_voice_ja_38969097.wav|common_voice_ja_39078593.wav	4/4	0.2059	0.2818	0.40	ok
cv_0076	8	0.5786	0.4253	common_voice_ja_33190431.wav|common_voice_ja_33190498.wav	5/3	0.5501	0.5214	0.40	ok
cv_0006	8	0.3400	0.0075	common_voice_ja_39905874.wav|common_voice_ja_39905814.wav	3/5	0.2219	0.4111	0.39	ok
cv_0139	8	0.4412	0.1196	common_voice_ja_39047986.wav|common_voice_ja_39048018.wav	6/2	0.3268	0.5186	0.39	ok
cv_0079	8	0.5520	0.2266	common_voice_ja_36250630.wav|common_voice_ja_36249057.wav	2/6	0.5109	0.5370	0.39	ok
cv_0001	8	0.3873	0.1931	common_voice_ja_39046306.wav|common_voice_ja_39045630.wav	5/3	0.3734	0.3748	0.39	ok
cv_0281	8	0.5132	0.2940	common_voice_ja_36361598.wav|common_voice_ja_36360874.wav	7/1	0.3786	0.5581	0.38	ok
cv_0003	8	0.5227	0.3153	common_voice_ja_39059035.wav|common_voice_ja_39056683.wav	3/5	0.4654	0.5114	0.38	ok
cv_0168	8	0.3941	0.1782	common_voice_ja_36318220.wav|common_voice_ja_36318121.wav	5/3	0.3043	0.3922	0.38	ok
cv_0242	8	0.5812	0.3619	common_voice_ja_36296308.wav|common_voice_ja_36296217.wav	4/4	0.5729	0.5393	0.37	ok
cv_0082	8	0.6913	0.4629	common_voice_ja_45172386.wav|common_voice_ja_45176441.wav	1/7	0.5659	0.7331	0.37	ok
cv_0183	8	0.3648	0.2033	common_voice_ja_39017425.wav|common_voice_ja_39017651.wav	4/4	0.3478	0.3825	0.37	ok
cv_0170	8	0.6376	0.4430	common_voice_ja_39034181.wav|common_voice_ja_39034825.wav	5/3	0.6046	0.6433	0.36	ok
cv_0254	8	0.4400	0.2810	common_voice_ja_36334666.wav|common_voice_ja_36314706.wav	5/3	0.3782	0.5106	0.36	ok
cv_0088	8	0.5416	0.3485	common_voice_ja_36362879.wav|common_voice_ja_36363107.wav	2/6	0.5148	0.5079	0.35	ok
cv_0270	8	0.3852	0.0291	common_voice_ja_44483806.wav|common_voice_ja_44523930.wav	3/5	0.3793	0.3865	0.35	ok
cv_0050	8	0.3903	0.1453	common_voice_ja_41789439.wav|common_voice_ja_41789883.wav	7/1	0.2238	0.4458	0.34	ok
cv_0022	8	0.4446	0.1833	common_voice_ja_36369474.wav|common_voice_ja_36366642.wav	4/4	0.2840	0.6518	0.34	ok
cv_0145	8	0.5738	0.3289	common_voice_ja_44618464.wav|common_voice_ja_44618228.wav	4/4	0.5478	0.5755	0.33	ok
cv_0036	8	0.5658	0.3669	common_voice_ja_36202954.wav|common_voice_ja_36202529.wav	3/5	0.5257	0.5736	0.33	ok
cv_0283	8	0.3517	-0.0323	common_voice_ja_38834642.wav|common_voice_ja_38834951.wav	3/5	0.3302	0.2476	0.32	ok
cv_0210	8	0.6060	0.4671	common_voice_ja_36135587.wav|common_voice_ja_36135791.wav	3/5	0.5685	0.5871	0.31	ok
cv_0048	8	0.5952	0.4348	common_voice_ja_39041788.wav|common_voice_ja_39041334.wav	4/4	0.5892	0.5902	0.31	ok
cv_0193	8	0.5561	0.1255	common_voice_ja_42121326.wav|common_voice_ja_39905951.wav	5/3	0.4492	0.6052	0.31	ok
cv_0188	8	0.4549	0.2814	common_voice_ja_45157506.wav|common_voice_ja_45156964.wav	6/2	0.4085	0.4290	0.30	ok
cv_0264	8	0.5227	0.2774	common_voice_ja_39543397.wav|common_voice_ja_39543055.wav	3/5	0.4745	0.5711	0.30	ok
cv_0087	8	0.5782	0.2404	common_voice_ja_38878324.wav|common_voice_ja_38878011.wav	5/3	0.5052	0.5613	0.30	ok
cv_0072	8	0.6132	0.3542	common_voice_ja_38935301.wav|common_voice_ja_38935275.wav	2/6	0.5546	0.6141	0.30	ok
cv_0066	8	0.5455	0.3282	common_voice_ja_38917165.wav|common_voice_ja_38916777.wav	3/5	0.5162	0.5542	0.30	ok
cv_0174	8	0.7781	0.6466	common_voice_ja_36295330.wav|common_voice_ja_36295795.wav	3/5	0.7561	0.8003	0.29	ok
cv_0092	8	0.5972	0.2999	common_voice_ja_36319151.wav|common_voice_ja_36319462.wav	5/3	0.5394	0.5922	0.28	ok
cv_0247	8	0.5647	0.2603	common_voice_ja_36308918.wav|common_voice_ja_36308740.wav	1/7	0.2907	0.6561	0.28	ok
cv_0109	8	0.6570	0.5244	common_voice_ja_35841786.wav|common_voice_ja_35842162.wav	2/6	0.6056	0.6912	0.28	ok
cv_0010	8	0.6646	0.4460	common_voice_ja_36350607.wav|common_voice_ja_36349773.wav	2/6	0.6407	0.6443	0.26	ok
cv_0015	8	0.5802	0.4347	common_voice_ja_42053624.wav|common_voice_ja_42053675.wav	4/4	0.5625	0.5666	0.25	ok
cv_0042	8	0.5579	0.2137	common_voice_ja_35848803.wav|common_voice_ja_35848369.wav	4/4	0.5037	0.5563	0.25	ok
cv_0071	8	0.5376	0.2858	common_voice_ja_35842379.wav|common_voice_ja_35842395.wav	5/3	0.4634	0.6039	0.24	ok
cv_0089	8	0.3949	0.1651	common_voice_ja_36355021.wav|common_voice_ja_36354517.wav	2/6	0.3052	0.2140	0.24	ok
cv_0181	8	0.7648	0.6037	common_voice_ja_36289636.wav|common_voice_ja_36289659.wav	1/7	0.6496	0.8033	0.24	ok
cv_0058	8	0.6560	0.4917	common_voice_ja_36296562.wav|common_voice_ja_36296738.wav	3/5	0.6207	0.6875	0.24	ok
cv_0298	8	0.3805	0.1442	common_voice_ja_36332494.wav|common_voice_ja_36332568.wav	4/4	0.3451	0.3650	0.23	ok
cv_0214	8	0.6148	0.3947	common_voice_ja_42073659.wav|common_voice_ja_42073535.wav	5/3	0.5420	0.5722	0.23	ok
cv_0176	8	0.7721	0.6030	common_voice_ja_36330801.wav|common_voice_ja_36330717.wav	6/2	0.7488	0.7783	0.23	ok
cv_0099	8	0.5968	0.4740	common_voice_ja_36371666.wav|common_voice_ja_36371568.wav	4/4	0.5603	0.6414	0.22	ok
cv_0157	8	0.5913	0.3007	common_voice_ja_36352270.wav|common_voice_ja_36352383.wav	7/1	0.4200	0.6484	0.22	ok
cv_0256	8	0.3391	0.1753	common_voice_ja_39101702.wav|common_voice_ja_39101775.wav	7/1	0.2593	0.3657	0.21	ok
cv_0093	8	0.5907	0.4488	common_voice_ja_41948984.wav|common_voice_ja_41949021.wav	3/5	0.5659	0.6102	0.21	ok
cv_0136	8	0.7032	0.5079	common_voice_ja_36024969.wav|common_voice_ja_36024843.wav	5/3	0.6802	0.7084	0.21	ok
cv_0110	8	0.3082	0.0731	common_voice_ja_39061219.wav|common_voice_ja_39058384.wav	3/5	0.2805	0.3346	0.20	ok
cv_0164	8	0.5526	0.3221	common_voice_ja_36343369.wav|common_voice_ja_36336428.wav	3/5	0.4518	0.6638	0.18	ok
cv_0098	8	0.5813	0.3729	common_voice_ja_36299676.wav|common_voice_ja_36299850.wav	4/4	0.5248	0.6255	0.18	ok
cv_0065	8	0.4949	0.1670	common_voice_ja_36335301.wav|common_voice_ja_36335175.wav	4/4	0.3999	0.5813	0.16	ok
cv_0294	8	0.5547	0.3432	common_voice_ja_38865498.wav|common_voice_ja_38863665.wav	3/5	0.5278	0.5492	0.16	ok
cv_0114	8	0.6082	0.4681	common_voice_ja_36345785.wav|common_voice_ja_36346741.wav	4/4	0.5775	0.6441	0.16	ok
cv_0118	8	0.5177	0.3536	common_voice_ja_42087870.wav|common_voice_ja_42087826.wav	1/7	0.4383	0.5442	0.15	ok
cv_0037	8	0.4107	0.0210	common_voice_ja_39064854.wav|common_voice_ja_39006130.wav	1/7	0.2304	0.4708	0.15	ok
cv_0278	8	0.5312	0.2928	common_voice_ja_44939673.wav|common_voice_ja_44941122.wav	3/5	0.4944	0.5688	0.14	ok
cv_0068	8	0.5211	0.2525	common_voice_ja_38933920.wav|common_voice_ja_38934559.wav	2/6	0.4707	0.5577	0.13	ok
cv_0180	8	0.5856	0.3796	common_voice_ja_36366611.wav|common_voice_ja_36368071.wav	3/5	0.5231	0.6529	0.13	ok
cv_0291	8	0.4937	0.0708	common_voice_ja_39062167.wav|common_voice_ja_39071453.wav	2/6	0.3276	0.4635	0.11	ok
cv_0148	8	0.5190	0.2970	common_voice_ja_36365499.wav|common_voice_ja_36364227.wav	5/3	0.4689	0.5293	0.11	ok
cv_0213	8	0.4879	0.2070	common_voice_ja_38954753.wav|common_voice_ja_38954435.wav	5/3	0.4196	0.4971	0.10	ok
cv_0020	8	0.4380	0.2438	common_voice_ja_41887783.wav|common_voice_ja_41887829.wav	5/3	0.4048	0.4585	0.09	ok
cv_0016	8	0.5270	0.2472	common_voice_ja_36869750.wav|common_voice_ja_36869776.wav	2/6	0.4814	0.5573	0.09	ok
cv_0284	8	0.7497	0.6514	common_voice_ja_37386034.wav|common_voice_ja_37385921.wav	6/2	0.7112	0.7226	0.08	ok
cv_0277	8	0.4654	0.1873	common_voice_ja_36362615.wav|common_voice_ja_36363965.wav	3/5	0.4231	0.4238	0.08	ok
cv_0038	8	0.4279	0.1604	common_voice_ja_39629045.wav|common_voice_ja_39629291.wav	6/2	0.2548	0.4713	0.08	ok
cv_0053	8	0.6392	0.4789	common_voice_ja_36050564.wav|common_voice_ja_36050717.wav	3/5	0.6181	0.6536	0.07	ok
cv_0074	8	0.5745	0.3898	common_voice_ja_36167701.wav|common_voice_ja_36167676.wav	4/4	0.5526	0.5554	0.07	ok
cv_0200	8	0.6829	0.5382	common_voice_ja_36069677.wav|common_voice_ja_36069558.wav	2/6	0.6607	0.6951	0.07	ok
cv_0150	8	0.4639	0.2312	common_voice_ja_38965614.wav|common_voice_ja_38965904.wav	5/3	0.3520	0.5871	0.06	ok
cv_0121	8	0.5972	0.4478	common_voice_ja_41927272.wav|common_voice_ja_41927151.wav	3/5	0.5744	0.5937	0.06	ok
cv_0047	8	0.5175	0.2549	common_voice_ja_36316957.wav|common_voice_ja_36316918.wav	3/5	0.4436	0.5980	0.06	ok
cv_0023	8	0.6589	0.4690	common_voice_ja_39423908.wav|common_voice_ja_39406106.wav	5/3	0.6473	0.6641	0.06	ok
cv_0191	8	0.6029	0.4033	common_voice_ja_42074414.wav|common_voice_ja_42074661.wav	2/6	0.5229	0.6573	0.05	ok
cv_0265	8	0.4010	0.1784	common_voice_ja_38851119.wav|common_voice_ja_38852311.wav	5/3	0.3261	0.3597	0.03	ok
cv_0018	8	0.5687	0.3305	common_voice_ja_38856523.wav|common_voice_ja_38856623.wav	2/6	0.5019	0.6186	0.03	ok
cv_0163	8	0.4475	0.0580	common_voice_ja_36286659.wav|common_voice_ja_36286432.wav	7/1	0.1799	0.5367	0.02	ok
cv_0232	8	0.4385	0.0996	common_voice_ja_24231697.wav|common_voice_ja_27498607.wav	7/1	0.1901	0.5213	0.02	ok
cv_0173	8	0.4666	0.1320	common_voice_ja_38883448.wav|common_voice_ja_38883724.wav	4/4	0.4343	0.4689	0.01	ok
cv_0288	8	0.6372	0.4660	common_voice_ja_39736416.wav|common_voice_ja_39736306.wav	4/4	0.5808	0.6715	0.01	ok
cv_0128	8	0.6710	0.5365	common_voice_ja_30693149.wav|common_voice_ja_30686426.wav	3/5	0.6311	0.6708	0.01	ok
cv_0166	8	0.4124	0.1931	common_voice_ja_39054615.wav|common_voice_ja_39054921.wav	6/2	0.3173	0.4666	0.01	ok
cv_0226	8	0.5862	0.2002	common_voice_ja_36346275.wav|common_voice_ja_36346090.wav	4/4	0.5295	0.6484	0.01	ok
cv_0131	8	0.3900	0.0874	common_voice_ja_36370286.wav|common_voice_ja_36370731.wav	4/4	0.3470	0.3606	0.00	ok
cv_0102	8	0.3656	0.1360	common_voice_ja_39008916.wav|common_voice_ja_39009220.wav	7/1	0.2100	0.4175	-1.00	ok
