spk	uid	orig_s	trim_s	ratio	mora	mora_per_s	cutoff_hz	band
cv_0027	common_voice_ja_39074349	2.340	1.741	0.744	0			
cv_0027	common_voice_ja_39074293	4.716	3.715	0.788	38	10.23		
cv_0027	common_voice_ja_39074143	3.960	3.135	0.792	15	4.78		
cv_0027	common_voice_ja_39061622	2.160	0.917	0.425	6	6.54		
cv_0027	common_voice_ja_39051572	3.636	2.287	0.629	18	7.87		
cv_0027	common_voice_ja_39053581	3.636	2.392	0.658	21	8.78		
cv_0027	common_voice_ja_39051646	3.996	3.204	0.802	19	5.93		
cv_0027	common_voice_ja_39053548	4.788	3.367	0.703	0			
cv_0027	common_voice_ja_39074202	1.656	0.592	0.357	2	3.38		
cv_0027	common_voice_ja_39051652	1.980	0.720	0.364	4	5.56		
cv_0027	common_voice_ja_39052231	2.520	1.184	0.470	11	9.29		
cv_0027	common_voice_ja_39077706	2.880	2.218	0.770	17	7.66		
cv_0027	common_voice_ja_39053554	6.336	5.074	0.801	0			
cv_0027	common_voice_ja_39074070	2.880	1.869	0.649	0			
cv_0027	common_voice_ja_39051657	2.700	1.567	0.580	0			
cv_0028	common_voice_ja_39093695	2.016	1.370	0.680	14	10.22	10172.431144067796	~11-12k(源22-24k)
cv_0028	common_voice_ja_39093530	2.160	1.579	0.731	10	6.33	10887.567497702206	~11-12k(源22-24k)
cv_0028	common_voice_ja_39093435	2.628	2.334	0.888	15	6.43		
cv_0028	common_voice_ja_39093579	1.980	0.987	0.498	0			
cv_0028	common_voice_ja_39093642	1.980	1.300	0.657	6	4.62		
cv_0028	common_voice_ja_39093559	2.556	1.556	0.609	13	8.35		
cv_0028	common_voice_ja_39029901	5.580	5.120	0.918	0			
cv_0028	common_voice_ja_39093697	3.096	2.218	0.716	0			
cv_0028	common_voice_ja_39093465	4.680	3.692	0.789	0			
cv_0028	common_voice_ja_39093384	3.420	2.891	0.845	27	9.34		
cv_0028	common_voice_ja_39030880	3.168	2.334	0.737	0			
cv_0028	common_voice_ja_39030909	3.240	1.916	0.591	0			
cv_0028	common_voice_ja_39093646	3.060	1.823	0.596	18	9.87		
cv_0028	common_voice_ja_39029907	1.728	1.556	0.900	5	3.21		
cv_0028	common_voice_ja_39093556	3.168	2.148	0.678	22	10.24		
cv_0028	common_voice_ja_39093422	2.448	1.567	0.640	13	8.30		
cv_0028	common_voice_ja_39093450	4.428	3.355	0.758	0			
cv_0029	common_voice_ja_45095223	3.996	2.682	0.671	23	8.58	10965.340909090908	~11-12k(源22-24k)
cv_0029	common_voice_ja_45009873	2.520	1.161	0.461	3	2.58	8587.44140625	<9k(電話帯域級?)
cv_0029	common_voice_ja_45009585	10.836	9.102	0.840	67	7.36		
cv_0029	common_voice_ja_45009761	9.936	8.545	0.860	63	7.37		
cv_0029	common_voice_ja_45009727	3.456	1.962	0.568	0			
cv_0029	common_voice_ja_44574531	4.680	3.111	0.665	0			
cv_0029	common_voice_ja_45095267	2.556	1.219	0.477	7	5.74		
cv_0029	common_voice_ja_45009828	12.240	10.983	0.897	0			
cv_0029	common_voice_ja_45095261	3.780	2.543	0.673	21	8.26		
cv_0029	common_voice_ja_44574540	5.220	3.123	0.598	0			
cv_0029	common_voice_ja_45009889	5.796	4.725	0.815	32	6.77		
cv_0029	common_voice_ja_44574342	5.436	4.156	0.765	0			
cv_0029	common_voice_ja_45095239	3.276	1.823	0.556	13	7.13		
cv_0029	common_voice_ja_45095244	4.716	3.448	0.731	0			
cv_0029	common_voice_ja_45095262	3.996	2.694	0.674	19	7.05		
cv_0029	common_voice_ja_44574542	4.716	3.367	0.714	25	7.43		
cv_0029	common_voice_ja_44574269	4.968	3.529	0.710	26	7.37		
cv_0029	common_voice_ja_44574532	5.508	4.098	0.744	28	6.83		
cv_0029	common_voice_ja_44574270	5.436	3.889	0.715	28	7.20		
cv_0029	common_voice_ja_44574267	4.428	2.914	0.658	13	4.46		
cv_0029	common_voice_ja_45095272	4.140	2.589	0.625	17	6.57		
cv_0029	common_voice_ja_45095245	3.168	1.730	0.546	13	7.51		
cv_0029	common_voice_ja_45009829	3.996	2.821	0.706	18	6.38		
cv_0029	common_voice_ja_45009891	4.896	3.553	0.726	25	7.04		
cv_0029	common_voice_ja_45009588	4.680	3.518	0.752	26	7.39		
cv_0029	common_voice_ja_44574268	7.920	6.316	0.797	48	7.60		
cv_0029	common_voice_ja_44574533	6.120	4.481	0.732	32	7.14		
cv_0029	common_voice_ja_45095217	4.068	2.415	0.594	0			
cv_0029	common_voice_ja_45009728	5.040	3.715	0.737	27	7.27		
cv_0029	common_voice_ja_45009832	2.268	1.324	0.584	3	2.27		
cv_0029	common_voice_ja_45009589	6.588	5.306	0.805	38	7.16		
cv_0029	common_voice_ja_45095264	2.808	1.347	0.480	8	5.94		
cv_0029	common_voice_ja_45009756	5.148	3.564	0.692	0			
cv_0029	common_voice_ja_45009724	4.680	3.262	0.697	0			
cv_0029	common_voice_ja_44574292	4.536	3.239	0.714	22	6.79		
cv_0029	common_voice_ja_44574266	4.896	1.602	0.327	13	8.11		
cv_0029	common_voice_ja_44574545	2.880	1.579	0.548	8	5.07		
cv_0029	common_voice_ja_44574329	12.780	11.343	0.888	0			
cv_0029	common_voice_ja_45009671	5.940	4.505	0.758	38	8.44		
cv_0029	common_voice_ja_45009847	5.580	4.226	0.757	31	7.34		
cv_0029	common_voice_ja_45009669	4.248	2.543	0.599	20	7.86		
cv_0029	common_voice_ja_44574293	4.428	3.077	0.695	25	8.12		
cv_0029	common_voice_ja_45009762	4.248	2.775	0.653	17	6.13		
cv_0029	common_voice_ja_45009874	4.428	3.889	0.878	23	5.91		
cv_0029	common_voice_ja_45009760	2.520	1.196	0.475	0			
cv_0029	common_voice_ja_45009681	5.508	4.296	0.780	33	7.68		
cv_0029	common_voice_ja_45009722	4.176	2.810	0.673	21	7.47		
cv_0029	common_voice_ja_45009590	5.076	3.971	0.782	25	6.30		
cv_0029	common_voice_ja_45009868	4.788	3.402	0.711	25	7.35		
cv_0030	common_voice_ja_39085727	2.916	0.882	0.302	7	7.94	6442.961040296053	<9k(電話帯域級?)
cv_0030	common_voice_ja_39092320	2.988	1.115	0.373	8	7.17	8020.220947265625	<9k(電話帯域級?)
cv_0030	common_voice_ja_39087172	3.780	2.357	0.624	16	6.79		
cv_0030	common_voice_ja_39088368	2.664	1.068	0.401	8	7.49		
cv_0030	common_voice_ja_39086266	3.132	1.451	0.463	9	6.20		
cv_0030	common_voice_ja_39087551	3.636	1.788	0.492	15	8.39		
cv_0030	common_voice_ja_39092192	2.556	0.906	0.354	0			
cv_0030	common_voice_ja_39092067	2.556	0.987	0.386	7	7.09		
cv_0030	common_voice_ja_39086660	2.340	0.813	0.347	6	7.38		
cv_0030	common_voice_ja_39084932	3.060	1.347	0.440	10	7.42		
cv_0030	common_voice_ja_39085460	3.780	1.962	0.519	16	8.15		
cv_0030	common_voice_ja_39085145	3.060	1.370	0.448	11	8.03		
cv_0030	common_voice_ja_39092248	3.204	1.428	0.446	11	7.70		
cv_0030	common_voice_ja_39092137	3.204	0.964	0.301	7	7.26		
cv_0030	common_voice_ja_39092298	2.232	1.428	0.640	7	4.90		
cv_0030	common_voice_ja_39085714	4.284	2.589	0.604	0			
cv_0030	common_voice_ja_39084285	3.888	1.997	0.514	15	7.51		
cv_0030	common_voice_ja_39084903	2.736	0.743	0.272	5	6.73		
cv_0030	common_voice_ja_39091833	3.708	2.113	0.570	0			
cv_0030	common_voice_ja_39087239	2.412	0.906	0.376	8	8.83		
cv_0031	common_voice_ja_39881955	2.520	1.405	0.558	0		10387.190082644629	~11-12k(源22-24k)
cv_0031	common_voice_ja_39881988	3.708	2.206	0.595	22	9.97	10907.587376644737	~11-12k(源22-24k)
cv_0031	common_voice_ja_39881985	2.880	1.834	0.637	19	10.36		
cv_0031	common_voice_ja_39881983	1.908	0.824	0.432	8	9.71		
cv_0031	common_voice_ja_39882024	4.140	2.949	0.712	0			
cv_0031	common_voice_ja_39881933	3.240	1.614	0.498	16	9.91		
cv_0031	common_voice_ja_39882098	1.836	1.126	0.613	11	9.77		
cv_0031	common_voice_ja_39882035	8.316	7.419	0.892	0			
cv_0031	common_voice_ja_39882028	3.240	1.370	0.423	0			
cv_0031	common_voice_ja_39882100	1.908	0.871	0.456	9	10.33		
cv_0031	common_voice_ja_39882128	2.088	0.917	0.439	8	8.72		
cv_0031	common_voice_ja_39882056	1.656	0.580	0.350	6	10.34		
cv_0031	common_voice_ja_39881987	2.700	1.974	0.731	9	4.56		
cv_0031	common_voice_ja_39882108	1.656	0.755	0.456	0			
cv_0031	common_voice_ja_39881956	2.520	1.254	0.498	12	9.57		
cv_0031	common_voice_ja_39881932	3.816	1.637	0.429	16	9.77		
cv_0031	common_voice_ja_39882138	2.556	1.509	0.590	0			
cv_0031	common_voice_ja_39882075	2.088	1.451	0.695	17	11.72		
cv_0031	common_voice_ja_39882063	1.980	0.940	0.475	8	8.51		
cv_0031	common_voice_ja_39881934	2.520	1.068	0.424	0			
cv_0031	common_voice_ja_39882034	2.268	1.347	0.594	13	9.65		
cv_0031	common_voice_ja_39882087	6.336	5.271	0.832	0			
cv_0032	common_voice_ja_45162941	3.780	2.380	0.630	22	9.24	11056.512004573171	~11-12k(源22-24k)
cv_0032	common_voice_ja_45161908	5.580	4.063	0.728	32	7.88	11019.33984375	~11-12k(源22-24k)
cv_0032	common_voice_ja_45161976	2.268	0.929	0.410	8	8.61		
cv_0032	common_voice_ja_45162161	2.988	1.486	0.497	12	8.08		
cv_0032	common_voice_ja_45162670	2.880	1.602	0.556	0			
cv_0032	common_voice_ja_45163235	3.816	2.566	0.672	21	8.18		
cv_0032	common_voice_ja_45162347	5.580	4.342	0.778	35	8.06		
cv_0032	common_voice_ja_45162247	2.700	1.707	0.632	14	8.20		
cv_0032	common_voice_ja_45162424	2.700	1.416	0.524	13	9.18		
cv_0032	common_voice_ja_45162240	4.716	3.820	0.810	30	7.85		
cv_0032	common_voice_ja_45162427	4.248	3.367	0.793	32	9.50		
cv_0032	common_voice_ja_45163233	3.780	2.682	0.710	21	7.83		
cv_0032	common_voice_ja_45162038	2.016	0.871	0.432	7	8.04		
cv_0032	common_voice_ja_45162669	4.680	3.228	0.690	27	8.36		
cv_0032	common_voice_ja_45161974	2.556	0.871	0.341	0			
cv_0032	common_voice_ja_45162250	3.348	2.345	0.700	10	4.26		
cv_0032	common_voice_ja_45163112	3.168	2.136	0.674	18	8.43		
cv_0032	common_voice_ja_45163234	3.636	1.846	0.508	0			
cv_0032	common_voice_ja_45161979	2.556	1.521	0.595	12	7.89		
cv_0032	common_voice_ja_45163116	1.980	0.708	0.358	5	7.06		
cv_0032	common_voice_ja_45162164	2.520	1.579	0.627	7	4.43		
cv_0032	common_voice_ja_45162165	2.268	1.660	0.732	11	6.63		
cv_0032	common_voice_ja_45162543	9.540	8.290	0.869	0			
cv_0033	common_voice_ja_44375231	3.348	2.101	0.628	18	8.57	11054.028185428177	~11-12k(源22-24k)
cv_0033	common_voice_ja_44374416	5.148	4.063	0.789	33	8.12	11042.71875	~11-12k(源22-24k)
cv_0033	common_voice_ja_44374694	4.176	2.670	0.639	0			
cv_0033	common_voice_ja_44374091	3.996	2.473	0.619	18	7.28		
cv_0033	common_voice_ja_44374257	4.248	2.937	0.691	24	8.17		
cv_0033	common_voice_ja_44375020	4.500	3.320	0.738	28	8.43		
cv_0033	common_voice_ja_44374648	5.508	4.412	0.801	0			
cv_0033	common_voice_ja_44374606	3.888	2.450	0.630	20	8.16		
cv_0033	common_voice_ja_44374841	4.860	3.460	0.712	30	8.67		
cv_0033	common_voice_ja_44374468	7.200	5.712	0.793	48	8.40		
cv_0033	common_voice_ja_44374909	10.620	9.787	0.922	78	7.97		
cv_0033	common_voice_ja_44374332	6.336	5.317	0.839	47	8.84		
cv_0033	common_voice_ja_44374738	3.816	2.426	0.636	20	8.24		
cv_0033	common_voice_ja_44374090	10.548	8.800	0.834	61	6.93		
cv_0033	common_voice_ja_44374369	6.768	5.619	0.830	0			
cv_0033	common_voice_ja_44374306	3.996	2.659	0.665	18	6.77		
cv_0033	common_voice_ja_44374695	3.600	2.078	0.577	16	7.70		
cv_0033	common_voice_ja_44374200	5.220	4.249	0.814	35	8.24		
cv_0033	common_voice_ja_44374254	4.320	3.111	0.720	25	8.04		
cv_0033	common_voice_ja_44374419	4.968	3.611	0.727	32	8.86		
cv_0033	common_voice_ja_44374975	3.060	1.649	0.539	14	8.49		
cv_0033	common_voice_ja_44374570	6.156	5.201	0.845	42	8.08		
cv_0033	common_voice_ja_44374465	3.960	3.587	0.906	28	7.81		
cv_0033	common_voice_ja_44374605	4.428	3.193	0.721	0			
cv_0033	common_voice_ja_44374367	2.988	1.463	0.490	0			
cv_0033	common_voice_ja_44375235	3.708	2.380	0.642	20	8.40		
cv_0033	common_voice_ja_44374912	3.240	2.125	0.656	19	8.94		
cv_0033	common_voice_ja_44374204	4.536	2.810	0.619	16	5.69		
cv_0033	common_voice_ja_44374907	5.580	3.576	0.641	24	6.71		
cv_0033	common_voice_ja_44374696	3.996	2.519	0.630	20	7.94		
cv_0033	common_voice_ja_44374466	3.996	2.752	0.689	23	8.36		
cv_0033	common_voice_ja_44374199	4.788	3.413	0.713	25	7.32		
cv_0033	common_voice_ja_44374609	3.456	2.310	0.668	20	8.66		
cv_0033	common_voice_ja_44374413	3.996	2.508	0.628	21	8.37		
cv_0033	common_voice_ja_44374840	4.896	3.576	0.730	31	8.67		
cv_0033	common_voice_ja_44374568	3.996	2.902	0.726	23	7.93		
cv_0033	common_voice_ja_44374911	3.600	2.206	0.613	19	8.61		
cv_0033	common_voice_ja_44374463	6.228	4.946	0.794	0			
cv_0033	common_voice_ja_44374331	3.276	2.020	0.617	20	9.90		
cv_0033	common_voice_ja_44375230	4.896	3.773	0.771	33	8.75		
cv_0033	common_voice_ja_44374311	4.176	2.914	0.698	25	8.58		
cv_0033	common_voice_ja_44375129	5.436	4.226	0.777	39	9.23		
cv_0033	common_voice_ja_44375019	3.708	2.183	0.589	18	8.25		
cv_0033	common_voice_ja_44374741	5.400	3.971	0.735	0			
cv_0033	common_voice_ja_44374573	5.616	4.214	0.750	38	9.02		
cv_0033	common_voice_ja_44374255	3.960	2.531	0.639	20	7.90		
cv_0033	common_voice_ja_44374914	3.456	1.892	0.547	15	7.93		
cv_0033	common_voice_ja_44374574	5.256	3.924	0.747	0			
cv_0033	common_voice_ja_44374980	5.148	4.400	0.855	0			
cv_0033	common_voice_ja_44375290	3.960	2.786	0.704	21	7.54		
cv_0033	common_voice_ja_44374086	5.580	3.704	0.664	0			
cv_0033	common_voice_ja_44375228	4.716	3.309	0.702	26	7.86		
cv_0033	common_voice_ja_44374838	4.068	2.717	0.668	22	8.10		
cv_0033	common_voice_ja_44374085	8.316	6.606	0.794	0			
cv_0033	common_voice_ja_44374698	6.516	5.294	0.812	35	6.61		
cv_0033	common_voice_ja_44375128	4.320	2.984	0.691	27	9.05		
cv_0033	common_voice_ja_44374652	4.968	3.762	0.757	30	7.97		
cv_0033	common_voice_ja_44374697	3.528	2.020	0.573	17	8.42		
cv_0033	common_voice_ja_44375023	4.896	3.843	0.785	33	8.59		
cv_0033	common_voice_ja_44374314	4.536	3.402	0.750	0			
cv_0034	common_voice_ja_39049977	2.952	1.788	0.606	0		10843.226207386364	~11-12k(源22-24k)
cv_0034	common_voice_ja_39050133	3.672	2.136	0.582	0		10984.742272418476	~11-12k(源22-24k)
cv_0034	common_voice_ja_39050087	4.392	3.553	0.809	29	8.16		
cv_0034	common_voice_ja_39049935	2.448	1.022	0.417	8	7.83		
cv_0034	common_voice_ja_39049938	3.636	2.299	0.632	0			
cv_0034	common_voice_ja_39049585	3.564	2.426	0.681	21	8.66		
cv_0034	common_voice_ja_39049813	2.988	1.300	0.435	10	7.69		
cv_0034	common_voice_ja_39049523	2.736	0.917	0.335	8	8.72		
cv_0034	common_voice_ja_39049933	3.816	2.020	0.529	14	6.93		
cv_0034	common_voice_ja_39049264	2.304	1.045	0.454	6	5.74		
cv_0034	common_voice_ja_39049453	2.016	0.697	0.346	4	5.74		
cv_0034	common_voice_ja_39050325	2.268	1.300	0.573	12	9.23		
cv_0034	common_voice_ja_39049579	9.864	8.928	0.905	66	7.39		
cv_0034	common_voice_ja_39049522	2.556	1.231	0.482	10	8.12		
cv_0034	common_voice_ja_39050131	2.520	1.149	0.456	0			
cv_0034	common_voice_ja_39050248	4.356	3.659	0.840	0			
cv_0034	common_voice_ja_39050136	3.276	2.206	0.673	0			
cv_0034	common_voice_ja_39049673	3.132	1.683	0.537	13	7.72		
cv_0034	common_voice_ja_39048885	3.888	2.055	0.529	18	8.76		
cv_0034	common_voice_ja_39050173	3.996	2.566	0.642	19	7.40		
cv_0034	common_voice_ja_39049972	2.628	1.091	0.415	9	8.25		
cv_0034	common_voice_ja_39049575	3.096	1.509	0.487	11	7.29		
cv_0034	common_voice_ja_39048883	5.688	4.365	0.767	37	8.48		
cv_0034	common_voice_ja_39050084	7.452	6.002	0.805	0			
cv_0034	common_voice_ja_39050211	4.680	4.122	0.881	24	5.82		
cv_0034	common_voice_ja_39049446	3.024	1.277	0.422	8	6.26		
cv_0034	common_voice_ja_39050208	2.664	1.219	0.458	0			
cv_0034	common_voice_ja_39049525	4.248	3.425	0.806	0			
cv_0034	common_voice_ja_39049675	3.456	2.287	0.662	0			
cv_0034	common_voice_ja_39049812	3.456	1.985	0.574	17	8.56		
cv_0034	common_voice_ja_39048880	6.876	6.049	0.880	27	4.46		
cv_0034	common_voice_ja_39049671	3.420	1.451	0.424	11	7.58		
cv_0034	common_voice_ja_39049657	4.284	2.833	0.661	0			
cv_0034	common_voice_ja_39049520	2.628	1.672	0.636	0			
cv_0034	common_voice_ja_39048969	7.020	4.261	0.607	0			
cv_0035	common_voice_ja_38988651	6.300	5.399	0.857	46	8.52	11024.999999999998	~11-12k(源22-24k)
cv_0035	common_voice_ja_38987951	8.640	7.349	0.851	70	9.53	11042.008849229858	~11-12k(源22-24k)
cv_0035	common_voice_ja_38988765	6.300	4.957	0.787	44	8.88		
cv_0035	common_voice_ja_38987948	4.176	2.740	0.656	0			
cv_0035	common_voice_ja_38988620	7.596	5.805	0.764	53	9.13		
cv_0035	common_voice_ja_38987949	2.340	1.126	0.481	8	7.10		
cv_0035	common_voice_ja_38988674	9.036	7.744	0.857	0			
cv_0035	common_voice_ja_38988713	8.748	7.512	0.859	0			
cv_0035	common_voice_ja_38988677	9.828	9.044	0.920	63	6.97		
cv_0035	common_voice_ja_38987559	8.316	7.140	0.859	0			
cv_0035	common_voice_ja_38988143	7.416	6.246	0.842	58	9.29		
cv_0035	common_voice_ja_38988728	9.828	8.487	0.864	0			
cv_0035	common_voice_ja_38988797	4.680	3.297	0.704	0			
cv_0035	common_voice_ja_38988622	8.568	7.326	0.855	0			
cv_0035	common_voice_ja_38988441	10.260	9.807	0.956	80	8.16		
cv_0035	common_voice_ja_38987793	8.856	7.221	0.815	64	8.86		
cv_0035	common_voice_ja_38988652	7.596	6.594	0.868	56	8.49		
cv_0035	common_voice_ja_38987685	9.180	7.512	0.818	67	8.92		
cv_0036	common_voice_ja_36202690	2.736	2.264	0.827	25	11.04	10711.829927884615	~11-12k(源22-24k)
cv_0036	common_voice_ja_36202973	7.920	6.780	0.856	52	7.67	11022.345221532534	~11-12k(源22-24k)
cv_0036	common_voice_ja_36202954	5.328	4.656	0.874	34	7.30		
cv_0036	common_voice_ja_36202900	3.960	3.495	0.883	0			
cv_0036	common_voice_ja_36202927	4.068	2.647	0.651	20	7.56		
cv_0036	common_voice_ja_36202591	6.300	5.654	0.897	53	9.37		
cv_0036	common_voice_ja_36202529	3.708	2.856	0.770	27	9.45		
cv_0036	common_voice_ja_36202933	2.700	1.753	0.649	0			
cv_0036	common_voice_ja_36202880	2.556	1.393	0.545	15	10.77		
cv_0036	common_voice_ja_36202527	3.780	2.426	0.642	18	7.42		
cv_0036	common_voice_ja_36202988	2.556	2.055	0.804	18	8.76		
cv_0036	common_voice_ja_36202644	3.060	2.101	0.687	23	10.95		
cv_0036	common_voice_ja_36202886	2.736	1.498	0.548	15	10.01		
cv_0036	common_voice_ja_36202689	5.868	5.410	0.922	0			
cv_0036	common_voice_ja_36202798	2.448	1.382	0.565	10	7.24		
cv_0036	common_voice_ja_36202800	3.960	3.053	0.771	22	7.21		
cv_0036	common_voice_ja_36202382	6.156	3.564	0.579	22	6.17		
cv_0036	common_voice_ja_36202384	4.428	2.043	0.461	15	7.34		
cv_0036	common_voice_ja_36202503	2.700	1.823	0.675	25	13.71		
cv_0036	common_voice_ja_36202801	4.428	3.936	0.889	0			
cv_0036	common_voice_ja_36202987	3.168	2.368	0.747	17	7.18		
cv_0036	common_voice_ja_36202956	3.816	3.042	0.797	0			
cv_0036	common_voice_ja_36202802	2.808	1.962	0.699	11	5.61		
cv_0036	common_voice_ja_36202932	2.988	1.881	0.630	18	9.57		
cv_0036	common_voice_ja_36202990	4.968	4.528	0.911	41	9.05		
cv_0036	common_voice_ja_36202484	2.880	1.962	0.681	23	11.72		
cv_0036	common_voice_ja_36202627	2.736	2.113	0.772	18	8.52		
cv_0036	common_voice_ja_36202506	2.520	1.544	0.613	18	11.66		
cv_0036	common_voice_ja_36202842	4.176	2.043	0.489	0			
cv_0036	common_voice_ja_36202926	3.060	2.334	0.763	24	10.28		
cv_0036	common_voice_ja_36202911	2.736	1.892	0.692	0			
cv_0036	common_voice_ja_36202482	3.348	2.322	0.694	18	7.75		
cv_0036	common_voice_ja_36202902	2.736	2.659	0.972	0			
cv_0036	common_voice_ja_36202952	3.456	3.216	0.931	17	5.29		
cv_0036	common_voice_ja_36202422	2.988	1.579	0.528	20	12.67		
cv_0036	common_voice_ja_36202838	3.456	2.322	0.672	17	7.32		
cv_0036	common_voice_ja_36202531	2.808	1.776	0.632	18	10.14		
cv_0036	common_voice_ja_36202924	2.556	1.347	0.527	13	9.65		
cv_0036	common_voice_ja_36202935	3.636	2.717	0.747	25	9.20		
cv_0036	common_voice_ja_36202976	6.768	5.863	0.866	44	7.50		
cv_0036	common_voice_ja_36202624	1.980	1.057	0.534	0			
cv_0036	common_voice_ja_36202901	2.736	2.566	0.938	16	6.24		
cv_0036	common_voice_ja_36202589	6.228	4.563	0.733	43	9.42		
cv_0036	common_voice_ja_36202386	2.916	1.730	0.593	0			
cv_0036	common_voice_ja_36202972	3.888	2.403	0.618	0			
cv_0037	common_voice_ja_39064854	3.348	2.194	0.655	18	8.20	10973.502604166666	~11-12k(源22-24k)
cv_0037	common_voice_ja_39006130	2.916	1.393	0.478	0		10117.016601562498	~11-12k(源22-24k)
cv_0037	common_voice_ja_39066565	2.052	0.569	0.277	3	5.27		
cv_0037	common_voice_ja_39065443	5.220	3.866	0.741	0			
cv_0037	common_voice_ja_39066253	3.240	1.823	0.563	16	8.78		
cv_0037	common_voice_ja_39066155	2.160	0.522	0.242	4	7.66		
cv_0037	common_voice_ja_39065001	3.600	3.158	0.877	0			
cv_0037	common_voice_ja_39065234	3.240	1.486	0.459	11	7.40		
cv_0037	common_voice_ja_39065013	1.764	0.615	0.349	4	6.50		
cv_0037	common_voice_ja_39065797	4.068	2.415	0.594	0			
cv_0037	common_voice_ja_39066558	1.800	0.557	0.309	3	5.39		
cv_0037	common_voice_ja_39065232	3.024	1.741	0.576	13	7.47		
cv_0037	common_voice_ja_39065439	1.908	0.685	0.359	5	7.30		
cv_0037	common_voice_ja_39064845	2.412	1.022	0.424	7	6.85		
cv_0037	common_voice_ja_39066442	2.196	1.300	0.592	11	8.46		
cv_0037	common_voice_ja_39065241	2.808	1.370	0.488	11	8.03		
cv_0037	common_voice_ja_39005986	2.988	1.312	0.439	0			
cv_0037	common_voice_ja_39066797	2.052	1.149	0.560	0			
cv_0037	common_voice_ja_39065238	3.708	2.183	0.589	0			
cv_0037	common_voice_ja_39066716	2.916	1.335	0.458	10	7.49		
cv_0037	common_voice_ja_39065795	2.520	1.219	0.484	9	7.38		
cv_0037	common_voice_ja_39005988	3.060	2.090	0.683	0			
cv_0037	common_voice_ja_39065514	2.988	1.707	0.571	15	8.79		
cv_0037	common_voice_ja_39065438	5.544	3.622	0.653	27	7.45		
cv_0037	common_voice_ja_39005932	9.972	7.790	0.781	0			
cv_0037	common_voice_ja_39005852	7.992	5.944	0.744	46	7.74		
cv_0037	common_voice_ja_39065803	2.304	1.010	0.438	10	9.90		
cv_0037	common_voice_ja_39066164	1.620	0.534	0.330	4	7.49		
cv_0037	common_voice_ja_39066444	3.204	1.393	0.435	0			
cv_0037	common_voice_ja_39005935	3.816	2.229	0.584	19	8.52		
cv_0037	common_voice_ja_39066256	2.664	1.486	0.558	0			
cv_0037	common_voice_ja_39066157	3.096	1.614	0.521	14	8.67		
cv_0037	common_voice_ja_39066261	3.780	2.531	0.670	0			
cv_0037	common_voice_ja_39006027	2.700	1.370	0.507	0			
cv_0037	common_voice_ja_39006141	6.264	4.702	0.751	0			
cv_0037	common_voice_ja_39065146	2.556	1.521	0.595	0			
cv_0037	common_voice_ja_39066806	2.592	1.196	0.461	10	8.36		
cv_0037	common_voice_ja_39065905	2.412	1.173	0.486	11	9.38		
cv_0037	common_voice_ja_39005984	6.660	5.120	0.769	41	8.01		
cv_0037	common_voice_ja_39066719	3.600	2.218	0.616	19	8.57		
cv_0037	common_voice_ja_39065007	3.420	2.125	0.621	17	8.00		
cv_0037	common_voice_ja_39066271	1.620	0.534	0.330	4	7.49		
cv_0037	common_voice_ja_39064850	3.672	2.403	0.654	22	9.16		
cv_0037	common_voice_ja_39065433	6.912	5.445	0.788	0			
cv_0037	common_voice_ja_39065441	4.176	2.055	0.492	18	8.76		
cv_0037	common_voice_ja_39006032	7.056	5.457	0.773	0			
cv_0037	common_voice_ja_39005931	4.860	3.181	0.655	24	7.54		
cv_0037	common_voice_ja_39066786	2.196	1.057	0.481	9	8.51		
cv_0037	common_voice_ja_39065518	3.456	2.148	0.622	0			
cv_0037	common_voice_ja_39005936	5.112	3.576	0.700	30	8.39		
cv_0037	common_voice_ja_39065799	3.420	2.229	0.652	0			
cv_0037	common_voice_ja_39066801	2.376	1.068	0.449	0			
cv_0037	common_voice_ja_39066555	5.364	4.249	0.792	0			
cv_0037	common_voice_ja_39066554	5.220	3.808	0.730	34	8.93		
cv_0038	common_voice_ja_39629030	3.456	2.241	0.648	9	4.02	10895.131355246112	~11-12k(源22-24k)
cv_0038	common_voice_ja_39629045	3.276	1.625	0.496	0		11028.69140625	~11-12k(源22-24k)
cv_0038	common_voice_ja_39628625	5.796	4.122	0.711	0			
cv_0038	common_voice_ja_39628736	6.408	5.120	0.799	0			
cv_0038	common_voice_ja_39629291	3.888	2.438	0.627	9	3.69		
cv_0038	common_voice_ja_39628734	6.408	5.143	0.803	0			
cv_0038	common_voice_ja_39629034	3.348	1.974	0.590	13	6.59		
cv_0038	common_voice_ja_39628763	3.420	1.962	0.574	0			
cv_0038	common_voice_ja_39628958	4.248	2.635	0.620	0			
cv_0038	common_voice_ja_39629299	5.976	4.145	0.694	32	7.72		
cv_0038	common_voice_ja_39628988	3.240	1.997	0.616	0			
cv_0038	common_voice_ja_39628767	3.996	2.717	0.680	17	6.26		
cv_0038	common_voice_ja_39628952	3.996	2.601	0.651	15	5.77		
cv_0038	common_voice_ja_39629198	3.168	1.544	0.487	6	3.89		
cv_0038	common_voice_ja_39628935	6.840	5.306	0.776	39	7.35		
cv_0038	common_voice_ja_39629172	6.336	4.516	0.713	0			
cv_0038	common_voice_ja_39628853	6.768	5.503	0.813	45	8.18		
cv_0038	common_voice_ja_39629285	3.636	2.252	0.619	0			
cv_0038	common_voice_ja_39628830	5.688	4.505	0.792	0			
